"","year","area","cpue_lrg","cpue_all","df","t","se_lrg","se_all","cv_all","ci_lrg","ci_all","peX15_lrg","peX15_all","metGoal_lrg","metGoal_all"
"14",1996,2,0,0.530455132824427,21,2.07961384472768,0,0,82.6872433390639,0,0,0,0.079568269923664,"NO","YES"
"15",1996,3,0,0.435706960305344,NA,NA,NA,NA,83.1457631518818,NA,NA,0,0.0653560440458016,NA,NA
"16",1997,1,0.44972594535,0.50335483,42,2.01808170281844,0.0143617638787399,0.0143617638787399,94.227020366661,0.0289832129038838,0.0289832129038838,0.0674588918025,0.0755032245,"YES","YES"
"17",1997,2,0.174308021946094,0.400483001875,126,1.97897060199061,0.00304956393632811,0.00304956393632811,83.3607715226464,0.00603499737888411,0.00603499737888411,0.0261462032919141,0.06007245028125,"YES","YES"
"18",1997,3,0.193898617765802,0.371419567938931,171,1.9739339541031,0.00308020333933311,0.00308020333933311,101.597979336552,0.0060801179570514,0.0060801179570514,0.0290847926648703,0.0557129351908396,"YES","YES"
"19",1998,1,0.175038260045,0.21655381,43,2.01669219922782,0.0063922810530003,0.0063922810530003,107.852096849826,0.0128912633348575,0.0128912633348575,0.02625573900675,0.0324830715,"YES","YES"
"20",1998,2,0.160426255806667,0.37989611,131,1.97823853923037,0.00237158829245369,0.00237158829245369,87.5933415800557,0.00469156735931943,0.00469156735931943,0.0240639383710001,0.0569844165,"YES","YES"
"21",1998,3,0.1057310950025,0.1909752075,87,1.98760828158907,0.00217172478439771,0.00217172478439771,83.1552171692937,0.00431653816680113,0.00431653816680113,0.015859664250375,0.028646281125,"YES","YES"
"22",1999,1,0.137374531965,0.22507166,43,2.01669219922782,0.00637925631642719,0.00637925631642719,136.48884490097,0.0128649964502135,0.0128649964502135,0.02060617979475,0.033760749,"YES","YES"
"23",1999,2,0.324074561173846,0.730034475076923,115,1.98080754110391,0.0105430494000099,0.0105430494000099,70.6337614659572,0.0208837517577706,0.0208837517577706,0.0486111841760769,0.109505171261538,"YES","YES"
"24",1999,3,0.194480467849612,0.373999256434108,171,1.9739339541031,0.00265406178637207,0.00265406178637207,84.3313276113072,0.00523894267640737,0.00523894267640737,0.0291720701774418,0.0560998884651162,"YES","YES"
"25",2000,1,0.30199766608,0.39653097,43,2.01669219922782,0.00634722619772867,0.00634722619772867,62.1069273815872,0.0128004015596939,0.0128004015596939,0.045299649912,0.0594796455,"YES","YES"
"26",2000,2,0.414216554975385,0.773736826923077,129,1.97852449147925,0.0059383114542738,0.0059383114542738,70.411169944299,0.0117490946503125,0.0117490946503125,0.0621324832463077,0.116060524038462,"YES","YES"
"27",2000,3,0.438261576352214,0.754097844122137,174,1.97369143975607,0.00547945836267,0.00547945836267,78.2552189967464,0.0108147600649016,0.0108147600649016,0.0657392364528321,0.113114676618321,"YES","YES"
"28",2001,1,0.990935954635,1.14119148,43,2.01669219922782,0.0181538953355359,0.0181538953355359,54.2192837593588,0.0366108191087736,0.0366108191087736,0.14864039319525,0.171178722,"YES","YES"
"29",2001,2,0.845020193141527,1.18707848045802,129,1.97852449147925,0.00884527799197043,0.00884527799197043,62.31732685655,0.0175005991410559,0.0175005991410559,0.126753028971229,0.178061772068703,"YES","YES"
"30",2001,3,0.433946845346667,0.638254191666667,175,1.97361246195438,0.00497588761559541,0.00497588761559541,81.7924291858811,0.00982047380742358,0.00982047380742358,0.065092026802,0.09573812875,"YES","YES"
"31",2002,1,0.529007938635,0.768460385,37,2.02619246302911,0.0154473777217385,0.0154473777217385,65.7592059874518,0.0312993603133504,0.0312993603133504,0.07935119079525,0.11526905775,"YES","YES"
"32",2002,2,1.27739545157519,1.99448040682171,128,1.97867084983782,0.0117989958529787,0.0117989958529787,51.8947481336752,0.0233463291516462,0.0233463291516462,0.191609317736278,0.299172061023256,"YES","YES"
"33",2002,3,0.452616412534504,0.653156540610687,130,1.97838040544701,0.00627374831390077,0.00627374831390077,71.3150265854007,0.0124118607329275,0.0124118607329275,0.0678924618801756,0.097973481091603,"YES","YES"
"34",2003,1,0.40210895923,0.61188226,43,2.01669219922782,0.011191044425526,0.011191044425526,82.2735457660549,0.0225688919941702,0.0225688919941702,0.0603163438845,0.091782339,"YES","YES"
"35",2003,2,1.25802368013667,1.74776261,131,1.97823853923037,0.0145820304122499,0.0145820304122499,66.8212749022967,0.0288467345417421,0.0288467345417421,0.1887035520205,0.2621643915,"YES","YES"
"36",2003,3,0.552482448466667,0.725203068333333,175,1.97361246195438,0.0066420406129108,0.0066420406129108,81.724298259871,0.0131088141264479,0.0131088141264479,0.0828723672700001,0.10878046025,"YES","YES"
"37",2004,1,2.10372035478,3.116781525,43,2.01669219922782,0.0289964585762861,0.0289964585762861,40.8439510409375,0.0584769318160288,0.0584769318160288,0.315558053217,0.46751722875,"YES","YES"
"38",2004,2,0.960204069586667,1.82084910333333,131,1.97823853923037,0.00823030286741787,0.00823030286741787,59.6086850984051,0.0162815023218642,0.0162815023218642,0.144030610438,0.273127365499999,"YES","YES"
"39",2004,3,0.49250669666,0.74616366,175,1.97361246195438,0.00502545661194161,0.00502545661194161,73.4467606203891,0.00991830379633902,0.00991830379633902,0.073876004499,0.111924549,"YES","YES"
"40",2005,1,1.22040487954,1.65566962,43,2.01669219922782,0.0205346502961463,0.0205346502961463,49.5675186714891,0.0414120690661096,0.0414120690661096,0.183060731931,0.248350443,"YES","YES"
"41",2005,2,0.708941089743333,1.92241193833333,131,1.97823853923037,0.00623982078724594,0.00623982078724594,56.0185900811807,0.0123438539592207,0.0123438539592207,0.1063411634615,0.28836179075,"YES","YES"
"42",2005,3,0.458048725022308,0.929874798769231,172,1.9738521694945,0.00503913163353745,0.00503913163353745,79.3542238719604,0.00994650090722628,0.00994650090722628,0.0687073087533462,0.139481219815385,"YES","YES"
"43",2006,1,2.37044353777524,2.84553447608048,3,3.18244630528371,0.0602128841984161,0.0602128841984161,32.2337670666572,0.191624270847725,0.191624270847725,0.355566530666286,0.426830171412072,"YES","YES"
"44",2006,2,0.845879891926667,1.84436501659667,11,2.20098516009164,0.0802127623545976,0.0802127623545976,58.6945843712991,0.176547099592427,0.176547099592427,0.126881983789,0.2766547524895,"NO","YES"
"45",2006,3,0.470466145420615,1.28775244227215,15,2.13144954555978,0.0883897600894387,0.0883897600894387,69.0895741635161,0.188398313974772,0.188398313974772,0.0705699218130922,0.193162866340822,"NO","YES"
"46",2007,1,2.77925158821814,3.5796876372093,3,3.18244630528371,0.257051140967802,0.257051140967802,31.4664713916761,0.818051453841943,0.818051453841943,0.416887738232721,0.536953145581395,"NO","NO"
"47",2007,2,0.857824945855572,3.22867437092183,11,2.20098516009164,0.14567394177508,0.14567394177508,49.3117432082135,0.320626184059005,0.320626184059005,0.128673741878336,0.484301155638274,"NO","YES"
"48",2007,3,0.944094694125,1.82866546663167,15,2.13144954555978,0.0674585236091166,0.0674585236091166,59.0684614739603,0.143784439490785,0.143784439490785,0.14161420411875,0.274299819994751,"NO","YES"
"49",2008,1,2.772688894745,3.458667931895,3,3.18244630528371,0.110720839991513,0.110720839991513,36.274380490913,0.3523631281489,0.3523631281489,0.41590333421175,0.51880018978425,"YES","YES"
"50",2008,2,0.902539694833333,3.16689485913167,11,2.20098516009164,0.102343706184377,0.102343706184377,49.6572419258133,0.225256978540592,0.225256978540592,0.135380954225,0.47503422886975,"NO","YES"
"51",2008,3,1.00880959191343,2.31779272039221,15,2.13144954555978,0.0369241391551006,0.0369241391551006,68.5757489085075,0.0787019396223251,0.0787019396223251,0.151321438787014,0.347668908058831,"YES","YES"
"52",2009,1,3.70410772534,4.9036811505,7,2.36462425159278,0.141596299061597,0.141596299061597,35.1723586803312,0.334822042696837,0.334822042696837,0.555616158801,0.735552172575,"YES","YES"
"53",2009,2,1.42411529159167,2.665417296465,11,2.20098516009164,0.153413217642324,0.153413217642324,53.8736755077023,0.337660215392663,0.337660215392663,0.21361729373875,0.39981259446975,"NO","YES"
"54",2009,3,1.064218926375,1.74585357609667,11,2.20098516009164,0.0485458321255584,0.0485458321255584,65.5886305213034,0.106848656092654,0.106848656092654,0.15963283895625,0.2618780364145,"YES","YES"
"55",2010,1,2.41815768942,2.879163522895,7,2.36462425159278,0.129427889303356,0.129427889303356,37.8125258020913,0.306048325879182,0.306048325879182,0.362723653413,0.43187452843425,"YES","YES"
"56",2010,2,1.27116004818677,1.63275339215492,11,2.20098516009164,0.0499516318933564,0.0499516318933564,62.186186510455,0.109942800519638,0.109942800519638,0.190674007228016,0.244913008823238,"YES","YES"
"57",2010,3,0.598201173258333,0.766350931096667,11,2.20098516009164,0.021484531098577,0.021484531098577,95.295705315553,0.0472871341194953,0.0472871341194953,0.08973017598875,0.1149526396645,"YES","YES"
"58",2011,1,5.66093371817395,6.26470966500884,7,2.36462425159278,0.2354738619562,0.2354738619562,35.7968775980263,0.556807204597842,0.556807204597842,0.849140057726092,0.939706449751326,"YES","YES"
"59",2011,2,1.7792044414629,2.18812738924244,11,2.20098516009164,0.0531138445089043,0.0531138445089043,63.9080343919009,0.116902783559513,0.116902783559513,0.266880666219435,0.328219108386366,"YES","YES"
"60",2011,3,0.480149784858333,0.607439583263333,9,2.2621571627982,0.0363805337991368,0.0363805337991368,98.5825666471942,0.0822984851201395,0.0822984851201395,0.0720224677287499,0.0911159374894999,"NO","YES"
"61",2012,1,6.60013393567,6.73862145,11,2.20098516009164,0.0396005812416199,0.0396005812416199,31.0761510362036,0.0871602916438088,0.0871602916438088,0.9900200903505,1.0107932175,"YES","YES"
"62",2012,2,1.4605741315307,2.3216869968276,14,2.1447866879178,0.0797658236909595,0.0797658236909595,45.4695114187316,0.171080676803169,0.171080676803169,0.219086119729605,0.34825304952414,"YES","YES"
"63",2012,3,0.646954237725954,1.11543672820901,22,2.07387306790403,0.060007437214899,0.060007437214899,74.606728712247,0.124447807913921,0.124447807913921,0.0970431356588931,0.167315509231351,"NO","YES"
"64",2013,1,3.92905997230744,4.2908057627907,11,2.20098516009164,0.0483778770529309,0.0483778770529309,32.9640000974295,0.106478989470239,0.106478989470239,0.589358995846116,0.643620864418605,"YES","YES"
"65",2013,2,1.48058526297252,2.54709336172626,11,2.20098516009164,0.063086176688553,0.063086176688553,47.8572939020001,0.138851738698424,0.138851738698424,0.222087789445878,0.382064004258939,"YES","YES"
"66",2013,3,1.06607345203053,1.3530644548913,11,2.20098516009164,0.03838359071432,0.03838359071432,70.8715539762949,0.0844817135532495,0.0844817135532495,0.159911017804579,0.202959668233695,"YES","YES"
"67",2014,1,3.949486390685,4.1637255,11,2.20098516009164,0.0544558053671672,0.0544558053671672,33.2981964700763,0.119856419493974,0.119856419493974,0.59242295860275,0.624558825,"YES","YES"
"68",2014,2,1.61601527152244,2.73440196641221,11,2.20098516009164,0.124668752008054,0.124668752008054,45.499022664717,0.274394073096871,0.274394073096871,0.242402290728366,0.410160294961831,"NO","YES"
"69",2014,3,0.85397773249313,1.02839632793893,11,2.20098516009164,0.032378463489051,0.032378463489051,76.8028309551087,0.0712645176459703,0.0712645176459703,0.12809665987397,0.15425944919084,"YES","YES"
"70",2015,1,2.762865007815,2.8339388,11,2.20098516009164,0.0827037177512287,0.0827037177512287,42.2473046141219,0.182029655454862,0.182029655454862,0.41442975117225,0.42509082,"YES","YES"
"71",2015,2,1.26653665401496,2.4836474778626,11,2.20098516009164,0.0867545513309955,0.0867545513309955,37.882428047847,0.190945480049929,0.190945480049929,0.189980498102244,0.37254712167939,"NO","YES"
"72",2015,3,0.329415606428333,0.463638266666667,11,2.20098516009164,0.0176309711433725,0.0176309711433725,89.2267522958503,0.0388055058445667,0.0388055058445667,0.0494123409642499,0.0695457400000001,"YES","YES"
"73",2016,1,5.409148377237,5.99215716,23,2.06865761041905,0.0914948208247054,0.0914948208247054,34.7746928655824,0.189271457412954,0.189271457412954,0.81137225658555,0.898823574,"YES","YES"
"74",2016,2,2.43920773521333,4.11896503333333,23,2.06865761041905,0.138427513604363,0.138427513604363,39.1264317862823,0.286359129509052,0.286359129509052,0.365881160281999,0.617844754999999,"YES","YES"
"75",2016,3,0.617783540051333,1.16624398,23,2.06865761041905,0.0567962447747886,0.0567962447747886,87.811275337082,0.117491983996589,0.117491983996589,0.0926675310076999,0.174936597,"NO","YES"
"76",2017,1,3.504740411348,4.74103531,23,2.06865761041905,0.162614463645697,0.162614463645697,43.8721875394295,0.336393647784882,0.336393647784882,0.5257110617022,0.7111552965,"YES","YES"
"77",2017,2,2.13733454920271,6.82236473898305,22,2.07387306790403,0.297991825064205,0.297991825064205,33.2179675884317,0.617997220456223,0.617997220456223,0.320600182380406,1.02335471084746,"NO","YES"
"78",2017,3,1.13539752485867,2.56066613,22,2.07387306790403,0.111415687326791,0.111415687326791,57.2090003800873,0.231061993289048,0.231061993289048,0.170309628728801,0.3840999195,"NO","YES"
